"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","446","[@regression]Checkout the form with only last name and postal code input field filled","chromium","Sun Jan 26 20:39:28 UTC 2025","passed","Sun Jan 26 20:39:29 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","897","[@smoke@regression]Add item at the cart","webkit","Sun Jan 26 20:40:37 UTC 2025","passed","Sun Jan 26 20:40:38 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","394","[@smoke@regression]Add item at the cart","chromium","Sun Jan 26 20:39:32 UTC 2025","passed","Sun Jan 26 20:39:33 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","705","[@regression]Attempt to log in with only the password field filled","webkit","Sun Jan 26 20:40:45 UTC 2025","passed","Sun Jan 26 20:40:46 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","707","[@smoke@regression]Filter the products by Price high to low","firefox","Sun Jan 26 20:39:58 UTC 2025","passed","Sun Jan 26 20:39:58 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","672","[@regression]Login test for user: error_user","firefox","Sun Jan 26 20:40:09 UTC 2025","passed","Sun Jan 26 20:40:10 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","5379","[@regression]Login test for user: performance_glitch_user","chromium","Sun Jan 26 20:39:37 UTC 2025","passed","Sun Jan 26 20:39:43 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","338","[@regression]Attempt to log in with only the password field filled","chromium","Sun Jan 26 20:39:35 UTC 2025","passed","Sun Jan 26 20:39:36 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","383","[@smoke@regression]Log in with valid credentials","chromium","Sun Jan 26 20:39:35 UTC 2025","passed","Sun Jan 26 20:39:35 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","746","[@smoke@regression]Verify that there are not products in the cart","webkit","Sun Jan 26 20:40:26 UTC 2025","passed","Sun Jan 26 20:40:27 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","339","[@smoke@regression]Attempt to log in with invalid credentials","chromium","Sun Jan 26 20:39:35 UTC 2025","passed","Sun Jan 26 20:39:35 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","335","[@smoke@regression]Verify Inventory page test","chromium","Sun Jan 26 20:39:32 UTC 2025","passed","Sun Jan 26 20:39:32 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","383","[@smoke@regression]Filter the products by Price low to high","chromium","Sun Jan 26 20:39:34 UTC 2025","passed","Sun Jan 26 20:39:34 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","380","[@regression]Login test for user: problem_user","chromium","Sun Jan 26 20:39:37 UTC 2025","passed","Sun Jan 26 20:39:37 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","621","[@smoke@regression]Add item at the cart","firefox","Sun Jan 26 20:39:54 UTC 2025","passed","Sun Jan 26 20:39:55 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
